Player ID,Name,Legal Name,Player Type,Status,Weight,Height,Birth Year,Birth Year Category,Birth State,Birth Country,Latitude,Longitude,Debut,Final Game,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,Bats,Throws
martisa01,Sandy Martinez,Angel Sandy,AllStar,Inactive,200.0,74.0,1970,1970-1979,Santo Domingo,D.R.,18.735693,-70.162651,1995-06-24,2004-10-03,62.0,191.0,12.0,46.0,12.0,0.0,2.0,25.0,0.0,0.0,7.0,45.0,L,R
martish01,Shairon Martis,Shairon Martis,AllStar,Inactive,225.0,73.0,1987,1980-1989,,Curacao,,,2008-09-04,2013-09-27,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,R,R
martisi01,Silvio Martinez,Silvio Ramon,AllStar,Inactive,170.0,70.0,1955,1950-1959,Santiago,D.R.,18.735693,-70.162651,1977-04-09,1981-10-04,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
martite01,Ted Martinez,Teodoro Noel,AllStar,Inactive,165.0,72.0,1947,1940-1949,Barahona,D.R.,18.735693,-70.162651,1970-07-18,1979-09-30,4.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,R,R
martito01,Tony Martinez,Gabriel Antonio,HallofFame,Active,165.0,70.0,1940,1940-1949,,Cuba,21.521757,-77.781167,1963-04-09,1966-06-14,43.0,141.0,10.0,22.0,4.0,0.0,0.0,8.0,1.0,1.0,5.0,18.0,R,R
martivi01,Victor Martinez,Victor Jesus,AllStar,Inactive,210.0,74.0,1978,1970-1979,Bolivar,Venezuela,6.42375,-66.58973,2002-09-10,2015-09-28,12.0,32.0,2.0,9.0,1.0,0.0,1.0,5.0,0.0,0.0,3.0,2.0,B,R
martiwi01,Willie Martinez,William Jose,AllStar,Inactive,180.0,74.0,1978,1970-1979,Lara,Venezuela,6.42375,-66.58973,2000-06-14,2000-06-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
masteju01,Justin Masterson,Justin Daniel,AllStar,Inactive,260.0,78.0,1985,1980-1989,,Jamaica,18.109581,-77.297508,2008-04-24,2015-08-09,36.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,R,R
mastnto01,Tom Mastny,Thomas Raymond,AllStar,Inactive,220.0,78.0,1981,1980-1989,,Indonesia,-0.789275,113.921327,2006-07-30,2008-09-25,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
matafr01,Frank Mata,Frank Jesus,AllStar,Inactive,235.0,73.0,1984,1980-1989,Anzoategui,Venezuela,6.42375,-66.58973,2010-05-26,2010-07-18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
